name,value
SEX,0.04913318166341093
centroid_x,0.024507728961446002
centroid_y,0.061603900236122264
centroid_z,0.05420300436256784
logjac_n,0.0782195706920403
logjac_mean,0.09863886225949522
logjac_std,0.12028577527594073
logjac_p05,0.1470503459915918
logjac_p95,0.088627725280172
mag_mean,0.11718479831741424
mag_std,0.09935526932747558
div_mean,0.1376450940839679
div_std,0.09907887784988932
div_p05,0.14853969909664494
div_p95,0.10678532614862493
ux_mean,0.11961872517095266
ux_std,0.1316728980827398
ux_p05,0.13567538833120918
ux_p95,0.11208892621718052
uy_mean,0.08916623382357117
uy_std,0.09295286794435773
uy_p95,0.10832126345128161
uz_mean,0.07864523286551517
uz_std,0.10699318234749253
uz_p95,0.10761679915587623
curlmag_mean,0.09913445380036275
original_firstorder_InterquartileRange,0.08452934845744789
original_firstorder_Kurtosis,0.09994772482951948
original_firstorder_Minimum,0.05511469581057732
original_firstorder_Range,0.05390001797835431
original_firstorder_Skewness,0.12440485205927417
original_firstorder_Uniformity,0.05859580693651466
original_firstorder_Variance,0.08556712166736902
original_glcm_Autocorrelation,0.09918290351056021
original_glcm_ClusterProminence,0.06949874846904279
original_glcm_ClusterShade,0.08911031284403613
original_glcm_Contrast,0.08209882107014561
original_glcm_DifferenceAverage,0.05399046485335387
original_glcm_Id,0.061176984308595674
original_glcm_Imc1,0.0787901711141194
original_glcm_InverseVariance,0.05968175219204649
original_glcm_JointEnergy,0.11909275774213209
original_gldm_DependenceVariance,0.09668487473388213
original_gldm_GrayLevelNonUniformity,0.05370283153527541
original_gldm_LargeDependenceEmphasis,0.060090376698048995
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.12663664619705403
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.11567398691502476
original_glrlm_GrayLevelNonUniformity,0.0863929604335765
original_glrlm_LongRunEmphasis,0.12616754854734286
original_glrlm_LongRunLowGrayLevelEmphasis,0.14977482865000855
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0356111880369548
original_glszm_GrayLevelNonUniformityNormalized,0.09516901154029299
original_glszm_GrayLevelVariance,0.04793018878998437
original_glszm_LargeAreaEmphasis,0.2923450057948545
original_glszm_LargeAreaHighGrayLevelEmphasis,0.07695822260360449
original_glszm_LowGrayLevelZoneEmphasis,0.18766924924798772
original_glszm_SmallAreaLowGrayLevelEmphasis,0.09130552457072799
original_glszm_ZoneVariance,0.2200786185848171
original_ngtdm_Busyness,0.13582654742069902
original_ngtdm_Coarseness,0.2829324119614929
original_ngtdm_Complexity,0.08652145545056768
original_ngtdm_Contrast,0.09757303137498313
original_ngtdm_Strength,0.11374395895154617
original_shape_LeastAxisLength,0.06082629199468873
original_shape_SurfaceArea,0.034256508524874565
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.03264155831759229
original_gldm_LowGrayLevelEmphasis,0.02019678227054205
